Movie Title,url,imdb_id
Darr,https://www.imdb.com/title/tt0109555,0109555
Agneepath (2012),https://www.imdb.com/title/tt1849718,1849718
Rustom ,https://www.imdb.com/title/tt5165344,5165344
Bodyguard (2011),https://www.imdb.com/title/tt1729637,1729637
Kapoor & Sons,https://www.imdb.com/title/tt4900716,4900716
Khosla Ka Ghosla,https://www.imdb.com/title/tt0466460,0466460
Kabir Singh,https://www.imdb.com/title/tt8983202,8983202
Bang Bang!,https://www.imdb.com/title/tt0060148,0060148
Guru (2007),https://www.imdb.com/title/tt0499375,0499375
Raazi,https://www.imdb.com/title/tt7098658,7098658
Jo Jeeta Wohi Sikandar,https://www.imdb.com/title/tt0104561,0104561
Badlapur ,https://www.imdb.com/title/tt3678782,3678782
Masaan,https://www.imdb.com/title/tt4635372,4635372
Namastey London,https://www.imdb.com/title/tt0795434,0795434
Tiger Zinda Hai,https://www.imdb.com/title/tt5956100,5956100
Rock On!!,https://www.imdb.com/title/tt0976222,0976222
Bhool Bhulaiyaa,https://www.imdb.com/title/tt0995031,0995031
Koi... Mil Gaya,https://www.imdb.com/title/tt0254481,0254481
Dil To Pagal Hai,https://www.imdb.com/title/tt0118983,0118983
Neerja,https://www.imdb.com/title/tt5286444,5286444
Ae Dil Hai Mushkil,https://www.imdb.com/title/tt4559006,4559006
Lakshya ,https://www.imdb.com/title/tt0323013,0323013
Pyaar Ka Punchnama,https://www.imdb.com/title/tt1926313,1926313
Hindi Medium,https://www.imdb.com/title/tt5764096,5764096
Parmanu: The Story of Pokhran,https://www.imdb.com/title/tt6826438,6826438
The Namesake ,https://www.imdb.com/title/tt0433416,0433416
Secret Superstar,https://www.imdb.com/title/tt6108090,6108090
Omkara (2006),https://www.imdb.com/title/tt0488414,0488414
Ugly ,https://www.imdb.com/title/tt2882328,2882328
Hum Aapke Hain Koun..!,https://www.imdb.com/title/tt0110076,0110076
Sonu Ke Titu Ki Sweety,https://www.imdb.com/title/tt7581902,7581902
Wanted (2009),https://www.imdb.com/title/tt1084972,1084972
Jab Harry Met Sejal,https://www.imdb.com/title/tt5997666,5997666
Goliyon Ki Raasleela Ram-Leela,https://www.imdb.com/title/tt2215477,2215477
Kabhi Alvida Naa Kehna,https://www.imdb.com/title/tt0449999,0449999
Rocket Singh: Salesman of the Year,https://www.imdb.com/title/tt1434447,1434447
Black Friday (2007),https://www.imdb.com/title/tt1608764,1608764
Dhoom,https://www.imdb.com/title/tt0422091,0422091
Manjhi  The Mountain Man,https://www.imdb.com/title/tt3449292,3449292
Krrish,https://www.imdb.com/title/tt0432637,0432637
Tumbbad,https://www.imdb.com/title/tt8239946,8239946
Kabhi Haan Kabhi Naa,https://www.imdb.com/title/tt0110222,0110222
Prem Ratan Dhan Payo,https://www.imdb.com/title/tt3595298,3595298
Gol Maal,https://www.imdb.com/title/tt0079221,0079221
Welcome (2007),https://www.imdb.com/title/tt0488798,0488798
Thugs of Hindostan,https://www.imdb.com/title/tt5970844,5970844
Guzaarish ,https://www.imdb.com/title/tt1438298,1438298
Hum Dil De Chuke Sanam,https://www.imdb.com/title/tt0150992,0150992
Jai Ho ,https://www.imdb.com/title/tt1188982,1188982
Simmba,https://www.imdb.com/title/tt7212726,7212726
Toilet: Ek Prem Katha,https://www.imdb.com/title/tt5785170,5785170
Dum Laga Ke Haisha,https://www.imdb.com/title/tt3495030,3495030
Kaminey,https://www.imdb.com/title/tt1274295,1274295
Baadshah (1999),https://www.imdb.com/title/tt0211934,0211934
Badla (2019),https://www.imdb.com/title/tt8130968,8130968
Tere Naam,https://www.imdb.com/title/tt0374271,0374271
Once Upon a Time in Mumbaai,https://www.imdb.com/title/tt1395054,1395054
Jolly LLB,https://www.imdb.com/title/tt2621000,2621000
Oye Lucky! Lucky Oye!,https://www.imdb.com/title/tt1292703,1292703
Ek Villain,https://www.imdb.com/title/tt3175038,3175038
Bareilly Ki Barfi,https://www.imdb.com/title/tt6967980,6967980
Iqbal ,https://www.imdb.com/title/tt0453729,0453729
Sarkar (2005),https://www.imdb.com/title/tt0432047,0432047
Detective Byomkesh Bakshy!,https://www.imdb.com/title/tt3447364,3447364
Race 2,https://www.imdb.com/title/tt1375789,1375789
Gangaajal,https://www.imdb.com/title/tt0373856,0373856
Baghban (2003),https://www.imdb.com/title/tt0337578,0337578
Khakee,https://www.imdb.com/title/tt7060460,7060460
Band Baaja Baaraat,https://www.imdb.com/title/tt1610452,1610452
Dabangg 2,https://www.imdb.com/title/tt2112131,2112131
Super 30 ,https://www.imdb.com/title/tt7485048,7485048
Phir Hera Pheri,https://www.imdb.com/title/tt0419058,0419058
Lootera,https://www.imdb.com/title/tt2224317,2224317
Newton ,https://www.imdb.com/title/tt6484982,6484982
Love Aaj Kal,https://www.imdb.com/title/tt10023024,10023024
Chalte Chalte (2003),https://www.imdb.com/title/tt0346723,0346723
Golmaal: Fun Unlimited,https://www.imdb.com/title/tt0495034,0495034
Shahid ,https://www.imdb.com/title/tt2181831,2181831
Company ,https://www.imdb.com/title/tt0335013,0335013
The Legend of Bhagat Singh,https://www.imdb.com/title/tt0319736,0319736
Article 15 ,https://www.imdb.com/title/tt10324144,10324144
Student of the Year,https://www.imdb.com/title/tt2172071,2172071
Singh Is Kinng,https://www.imdb.com/title/tt1146325,1146325
Singham,https://www.imdb.com/title/tt1948150,1948150
Raid (2018),https://www.imdb.com/title/tt7363076,7363076
Dil Dhadakne Do,https://www.imdb.com/title/tt4110568,4110568
Pyaar Ka Punchnama 2,https://www.imdb.com/title/tt4430136,4430136
Tubelight (2017),https://www.imdb.com/title/tt5882970,5882970
Dostana (2008),https://www.imdb.com/title/tt1185420,1185420
Pardes ,https://www.imdb.com/title/tt0119861,0119861
Gulaal ,https://www.imdb.com/title/tt1261047,1261047
Mr. India (1987),https://www.imdb.com/title/tt0093578,0093578
Student of the Year 2,https://www.imdb.com/title/tt7255568,7255568
Hasee Toh Phasee,https://www.imdb.com/title/tt3173910,3173910
AÅ›oka ,https://www.imdb.com/title/tt14814040,14814040
Kaho Naa... Pyaar Hai,https://www.imdb.com/title/tt0234000,0234000
Nayak (2001),https://www.imdb.com/title/tt8188914,8188914
Cocktail (2012),https://www.imdb.com/title/tt2168910,2168910
Garam Masala (2005),https://www.imdb.com/title/tt0453671,0453671
Mujhse Shaadi Karogi,https://www.imdb.com/title/tt0418362,0418362
Hum Tum,https://www.imdb.com/title/tt0378072,0378072
Housefull 2,https://www.imdb.com/title/tt1980986,1980986
Mulk ,https://www.imdb.com/title/tt7618184,7618184
Tanu Weds Manu,https://www.imdb.com/title/tt1694542,1694542
Desi Boyz,https://www.imdb.com/title/tt1985981,1985981
Satya (1998),https://www.imdb.com/title/tt0195231,0195231
Saaho,https://www.imdb.com/title/tt6836936,6836936
Heyy Babyy,https://www.imdb.com/title/tt0806088,0806088
Jaane Bhi Do Yaaro,https://www.imdb.com/title/tt0085743,0085743
Karan Arjun,https://www.imdb.com/title/tt0113526,0113526
Race (2008),https://www.imdb.com/title/tt1017456,1017456
Paheli,https://www.imdb.com/title/tt0451850,0451850
Yes Boss ,https://www.imdb.com/title/tt0120540,0120540
Dhobi Ghat ,https://www.imdb.com/title/tt1433810,1433810
Chachi 420,https://www.imdb.com/title/tt0233422,0233422
Kites ,https://www.imdb.com/title/tt1198101,1198101
Housefull (2010),https://www.imdb.com/title/tt1573072,1573072
Dhamaal,https://www.imdb.com/title/tt0845448,0845448
Vaastav: The Reality,https://www.imdb.com/title/tt0220832,0220832
Aankhen (2002),https://www.imdb.com/title/tt0306434,0306434
Madaari,https://www.imdb.com/title/tt5713232,5713232
Hungama (2003),https://www.imdb.com/title/tt0371735,0371735
NH10 ,https://www.imdb.com/title/tt3742284,3742284
Raman Raghav 2.0,https://www.imdb.com/title/tt5662932,5662932
Ajab Prem Ki Ghazab Kahani,https://www.imdb.com/title/tt1252596,1252596
Peepli Live,https://www.imdb.com/title/tt1447508,1447508
October (2018),https://www.imdb.com/title/tt7700730,7700730
MSG: The Messenger,https://www.imdb.com/title/tt4107858,4107858
Fashion (2008),https://www.imdb.com/title/tt0964516,0964516
Brothers (2015),https://www.imdb.com/title/tt3802576,3802576
Paa ,https://www.imdb.com/title/tt1532957,1532957
Kesari ,https://www.imdb.com/title/tt6264938,6264938
Roja,https://www.imdb.com/title/tt1540133,1540133
Johnny Gaddaar,https://www.imdb.com/title/tt1077248,1077248
Go Goa Gone,https://www.imdb.com/title/tt2436516,2436516
Irudhi Suttru,https://www.imdb.com/title/tt5310090,5310090
Hey Ram,https://www.imdb.com/title/tt0222012,0222012
Bheja Fry ,https://www.imdb.com/title/tt1014672,1014672
Te3n,https://www.imdb.com/title/tt4814290,4814290
Tees Maar Khan (2010),https://www.imdb.com/title/tt1572311,1572311
Chupke Chupke,https://www.imdb.com/title/tt0072783,0072783
Table No. 21,https://www.imdb.com/title/tt2229842,2229842
Ghulam ,https://www.imdb.com/title/tt0190419,0190419
Shaadi Mein Zaroor Aana,https://www.imdb.com/title/tt7469726,7469726
The Ghazi Attack,https://www.imdb.com/title/tt6299040,6299040
Partner (2007),https://www.imdb.com/title/tt0807758,0807758
Don (1978),https://www.imdb.com/title/tt0077451,0077451
No One Killed Jessica,https://www.imdb.com/title/tt1734110,1734110
Maine Pyar Kiya,https://www.imdb.com/title/tt0100095,0100095
Gold (2018),https://www.imdb.com/title/tt6173990,6173990
Humpty Sharma Ki Dulhania,https://www.imdb.com/title/tt3678938,3678938
Life in a... Metro,https://www.imdb.com/title/tt0800956,0800956
Tere Bin Laden,https://www.imdb.com/title/tt1629391,1629391
No Entry,https://www.imdb.com/title/tt0451833,0451833
Mohenjo Daro ,https://www.imdb.com/title/tt3859980,3859980
Qayamat Se Qayamat Tak,https://www.imdb.com/title/tt0095936,0095936
Boss (2013),https://www.imdb.com/title/tt3667436,3667436
Fukrey,https://www.imdb.com/title/tt2806788,2806788
New York (2009),https://www.imdb.com/title/tt1328634,1328634
Mardaani,https://www.imdb.com/title/tt3495000,3495000
Billu,https://www.imdb.com/title/tt1230448,1230448
Karthik Calling Karthik,https://www.imdb.com/title/tt1373156,1373156
Bachna Ae Haseeno,https://www.imdb.com/title/tt1182972,1182972
Karwaan,https://www.imdb.com/title/tt7919680,7919680
Gunda (1998),https://www.imdb.com/title/tt0497915,0497915
Ishqiya,https://www.imdb.com/title/tt1345777,1345777
Gadar: Ek Prem Katha,https://www.imdb.com/title/tt0284137,0284137
Bhagam Bhag,https://www.imdb.com/title/tt0805184,0805184
Mary Kom ,https://www.imdb.com/title/tt3001638,3001638
Deewaar,https://www.imdb.com/title/tt0072860,0072860
Ishq (1997),https://www.imdb.com/title/tt0133024,0133024
Shivaay,https://www.imdb.com/title/tt3771536,3771536
Shanghai (2012),https://www.imdb.com/title/tt2072227,2072227
Kalank,https://www.imdb.com/title/tt6988116,6988116
Waqt: The Race Against Time,https://www.imdb.com/title/tt0390614,0390614
Aitraaz,https://www.imdb.com/title/tt0418460,0418460
Luck by Chance,https://www.imdb.com/title/tt0886539,0886539
Mangal Pandey: The Rising,https://www.imdb.com/title/tt0346457,0346457
Badrinath Ki Dulhania,https://www.imdb.com/title/tt6277440,6277440
Josh (2000),https://www.imdb.com/title/tt0151150,0151150
Shootout at Lokhandwala,https://www.imdb.com/title/tt0811066,0811066
Taxi No. 9211,https://www.imdb.com/title/tt0476884,0476884
Khatta Meetha (2010),https://www.imdb.com/title/tt1455811,1455811
Ankhon Dekhi,https://www.imdb.com/title/tt3614516,3614516
Parineeta (2005),https://www.imdb.com/title/tt0437407,0437407
Rangeela (1995),https://www.imdb.com/title/tt0114234,0114234
D-Day (2013),https://www.imdb.com/title/tt2385104,2385104
Mere Brother Ki Dulhan,https://www.imdb.com/title/tt1740710,1740710
MSG-2 The Messenger,https://www.imdb.com/title/tt4921860,4921860
Dhadak,https://www.imdb.com/title/tt7638344,7638344
Patiala House ,https://www.imdb.com/title/tt1535467,1535467
Trapped (2016),https://www.imdb.com/title/tt6206564,6206564
