Movie Title
3 Idiots
Taare Zameen Par
PK 
Dangal 
Rang De Basanti
Lagaan
My Name Is Khan
Swades
Gangs of Wasseypur
Gangs of Wasseypur Part 2
Barfi!
Chak De! India
Munna Bhai M.B.B.S.
Bajrangi Bhaijaan
Dil Chahta Hai
Zindagi Na Milegi Dobara
Dilwale Dulhania Le Jayenge
Kal Ho Naa Ho
Drishyam (2015)
Gunday
Queen (2013)
Children of Heaven
Bhaag Milkha Bhaag
Kahaani
Ghajini (2008)
Andhadhun
Hera Pheri (2000)
Airlift 
Baby (2015)
Jab Tak Hai Jaan
Sholay
Don 2
Haider 
Special 26
Andaz Apna Apna
OMG Oh My God!
Veer-Zaara
Chennai Express
Kuch Kuch Hota Hai
The Lunchbox
Jab We Met
Sanju
Kabhi Khushi Kabhie Gham...
Dhoom 3
Rab Ne Bana Di Jodi
Fan 
Udaan (2010)
Lage Raho Munna Bhai
Vishwaroopam
Raees 
Talaash: The Answer Lies Within
Vicky Donor
Ra.One
Om Shanti Om
Rockstar (2011)
Devdas (2002)
Uri: The Surgical Strike
Yeh Jawaani Hai Deewani
Sultan (2016)
Pink (2016)
Dear Zindagi
Don (2006)
Happy New Year (2014)
Black (2005)
English Vinglish
Race 3
Paan Singh Tomar 
Main Hoon Na
Dilwale (2015)
M.S. Dhoni: The Untold Story
Fanaa (2006)
Bajirao Mastani
Jodhaa Akbar
Raanjhanaa
Ek Tha Tiger
Talvar 
Dabangg
Piku
Wake Up Sid
Mohabbatein
Delhi Belly 
Dil Se..
Kai Po Che!
Aashiqui 2
Padmaavat
Tanu Weds Manu: Returns
Baazigar
Highway (2014)
Udta Punjab
Anand (1971)
Holiday: A Soldier Is Never Off Duty
Sarfarosh
Kaabil
Stree (2018)
Gully Boy
Kick (2014)
2 States (2014)
Dhoom 2
Badhaai Ho
Zero (2018)
Gabbar Is Back
Madras Cafe
Darr
Agneepath (2012)
Rustom 
Bodyguard (2011)
Kapoor & Sons
Khosla Ka Ghosla
Kabir Singh
Bang Bang!
Guru (2007)
Raazi
Jo Jeeta Wohi Sikandar
Badlapur 
Masaan
Namastey London
Tiger Zinda Hai
Rock On!!
Bhool Bhulaiyaa
Koi... Mil Gaya
Dil To Pagal Hai
Neerja
Ae Dil Hai Mushkil
Lakshya 
Pyaar Ka Punchnama
Hindi Medium
Parmanu: The Story of Pokhran
The Namesake 
Secret Superstar
Omkara (2006)
Ugly 
Hum Aapke Hain Koun..!
Sonu Ke Titu Ki Sweety
Wanted (2009)
Jab Harry Met Sejal
Goliyon Ki Raasleela Ram-Leela
Kabhi Alvida Naa Kehna
Rocket Singh: Salesman of the Year
Black Friday (2007)
Dhoom
Manjhi  The Mountain Man
Krrish
Tumbbad
Kabhi Haan Kabhi Naa
Prem Ratan Dhan Payo
Gol Maal
Welcome (2007)
Thugs of Hindostan
Guzaarish 
Hum Dil De Chuke Sanam
Jai Ho 
Simmba
Toilet: Ek Prem Katha
Dum Laga Ke Haisha
Kaminey
Baadshah (1999)
Badla (2019)
Tere Naam
Once Upon a Time in Mumbaai
Jolly LLB
Oye Lucky! Lucky Oye!
Ek Villain
Bareilly Ki Barfi
Iqbal 
Sarkar (2005)
Detective Byomkesh Bakshy!
Race 2
Gangaajal
Baghban (2003)
Khakee
Band Baaja Baaraat
Dabangg 2
Super 30 
Phir Hera Pheri
Lootera
Newton 
Love Aaj Kal
Chalte Chalte (2003)
Golmaal: Fun Unlimited
Shahid 
Company 
The Legend of Bhagat Singh
Article 15 
Student of the Year
Singh Is Kinng
Singham
Raid (2018)
Dil Dhadakne Do
Pyaar Ka Punchnama 2
Tubelight (2017)
Dostana (2008)
Pardes 
Gulaal 
Mr. India (1987)
Student of the Year 2
Hasee Toh Phasee
AÅ›oka 
Kaho Naa... Pyaar Hai
Nayak (2001)
Cocktail (2012)
Garam Masala (2005)
Mujhse Shaadi Karogi
Hum Tum
Housefull 2
Mulk 
Tanu Weds Manu
Desi Boyz
Satya (1998)
Saaho
Heyy Babyy
Jaane Bhi Do Yaaro
Karan Arjun
Race (2008)
Paheli
Yes Boss 
Dhobi Ghat 
Chachi 420
Kites 
Housefull (2010)
Dhamaal
Vaastav: The Reality
Aankhen (2002)
Madaari
Hungama (2003)
NH10 
Raman Raghav 2.0
Ajab Prem Ki Ghazab Kahani
Peepli Live
October (2018)
MSG: The Messenger
Fashion (2008)
Brothers (2015)
Paa 
Kesari 
Roja
Johnny Gaddaar
Go Goa Gone
Irudhi Suttru
Hey Ram
Bheja Fry 
Te3n
Tees Maar Khan (2010)
Chupke Chupke
Table No. 21
Ghulam 
Shaadi Mein Zaroor Aana
The Ghazi Attack
Partner (2007)
Don (1978)
No One Killed Jessica
Maine Pyar Kiya
Gold (2018)
Humpty Sharma Ki Dulhania
Life in a... Metro
Tere Bin Laden
No Entry
Mohenjo Daro 
Qayamat Se Qayamat Tak
Boss (2013)
Fukrey
New York (2009)
Mardaani
Billu
Karthik Calling Karthik
Bachna Ae Haseeno
Karwaan
Gunda (1998)
Ishqiya
Gadar: Ek Prem Katha
Bhagam Bhag
Mary Kom 
Deewaar
Ishq (1997)
Shivaay
Shanghai (2012)
Kalank
Waqt: The Race Against Time
Aitraaz
Luck by Chance
Mangal Pandey: The Rising
Badrinath Ki Dulhania
Josh (2000)
Shootout at Lokhandwala
Taxi No. 9211
Khatta Meetha (2010)
Ankhon Dekhi
Parineeta (2005)
Rangeela (1995)
D-Day (2013)
Mere Brother Ki Dulhan
MSG-2 The Messenger
Dhadak
Patiala House 
Trapped (2016)
Vivah
Son of Sardaar
Jagga Jasoos
Hichki
Ladies vs Ricky Bahl
The Dirty Picture
Yuva
Maqbool
Phantom (2015)
Salaam Bombay!
Mother India
Agneepath (1990)
Koyla
Baaghi 2
Shaitan 
Jaan-E-Mann
Bol Bachchan
Ajnabee (2001)
Himmatwala (2013)
Heropanti
Judwaa 2
Manikarnika: The Queen of Jhansi
Mom 
Golmaal Again
MSG: The Warrior Lion Heart
Chandni Chowk to China
Sachin: A Billion Dreams
Humshakals
Mission Mangal
Mohra
Awara Paagal Deewana
I Hate Luv Storys
Bhoothnath
Chup Chup Ke
Khoobsurat (2014)
Singh Is Bliing
Saawariya
Main Tera Hero
Entertainment (2014)
Socha Na Tha
Raju Ban Gaya Gentleman
Shubh Mangal Saavdhan
Veer (2010)
Sarkar Raj
Roy 
Singham Returns
Agent Vinod (2012)
Guide 
Dedh Ishqiya
Rocky Handsome
Shamitabh
Force (2011)
Duplicate (1998)
Befikre
Mughal-e-Azam
Page 3 
Delhi-6
Raja Hindustani
Golmaal Returns
Aag (2007)
De Dana Dan
Dhadkan
Saathiya 
Phir Bhi Dil Hai Hindustani
Amar Akbar Anthony
Chillar Party
Love per Square Foot
Rehnaa Hai Terre Dil Mein
Salaam Namaste
Ishaqzaade
Once Upon ay Time in Mumbai Dobaara!
Baaghi (2016)
Ek Main Aur Ekk Tu
Hum Tumhare Hain Sanam
Manorama Six Feet Under
Ek Hasina Thi 
Hum Saath-Saath Hain
Viceroy's House 
Mission Kashmir
Dishoom
Murder 2
Finding Fanny
Awarapan
Sui Dhaaga
Ship of Theseus 
No Smoking (2007)
Matru Ki Bijlee Ka Mandola
Hulchul (2004)
Bunty Aur Babli
Manmarziyaan
Shuddh Desi Romance
Anjaana Anjaani
Deewana (1992)
Saajan
Dasvidaniya
Baar Baar Dekho
Lipstick Under My Burkha
Half Girlfriend 
Batla House
Mr. & Mrs. Khiladi
The Accidental Prime Minister 
Anjaam
The Tashkent Files
Padosan
Satyameva Jayate (2018)
Mukkabaaz
Grand Masti
Masti (2004)
Stanley Ka Dabba
Fire (1996)
De De Pyaar De
Khiladiyon Ka Khiladi
Bluffmaster!
Mumbai Meri Jaan
Chamatkar
Dor 
Kis Kisko Pyaar Karoon
Main Khiladi Tu Anari
Hunterrr
Jannat 
Welcome Back 
Bombay Velvet
Daawat-e-Ishq
All the Best: Fun Begins
Action Replayy
7 Khoon Maaf
Mausam (2011)
Salaam-e-Ishq: A Tribute to Love
Hum Hain Rahi Pyar Ke
Bhavesh Joshi Superhero
Gangster (2006)
Love Sex Aur Dhokha
Kismat Konnection
Malamaal Weekly
Azhar 
Aligarh 
Ki & Ka
Sangharsh (1999)
Total Dhamaal
Naam Shabana
Hamari Adhuri Kahani
Pyaasa
ABCD 2
Thank You (2011)
Joker (2012)
Qarib Qarib Singlle
Ghayal: Once Again
Chashme Baddoor (2013)
Ferrari Ki Sawaari
Judwaa
Phas Gaye Re Obama
Taal 
Happy Bhag Jayegi
Aarakshan
Satyagraha 
Mujhse Dosti Karoge!
Cheeni Kum
Tashan 
Bombay Talkies 
Housefull 4
Do Dooni Chaar
Dil (1990)
Nil Battey Sannata
One 2 Ka 4
PM Narendra Modi
Bhoothnath Returns
Mann 
Ghanchakkar 
Kaal (2005)
Hazaaron Khwaishein Aisi
A Gentleman
Shaandaar
Kurbaan (2009)
Angoor (1982)
Ek Chalis Ki Last Local
Force 2
Shakti: The Power
Biwi No.1
Parched
Mera Naam Joker
Akele Hum Akele Tum
Kaante
Mere Dad Ki Maruti
Dhol 
Maine Pyaar Kyun Kiya?
Blue (2009)
Gupt: The Hidden Truth
Batti Gul Meter Chalu
Yeh Dillagi
CityLights (2014)
Sabse Bada Khiladi
Deewane Huye Paagal
Fukrey Returns
Dream Girl (2019)
Bandit Queen
Tumhari Sulu
Fitoor
Mard Ko Dard Nahi Hota
Phata Poster Nikhla Hero
Hind Ka Napak Ko Jawab: MSG Lion Heart 2
Rahasya
Commando: A One Man Army
Main Prem Ki Diwani Hoon
Chori Chori Chupke Chupke
London Dreams
Kyaa Kool Hain Hum 3
Raavan
Nautanki Saala!
36 China Town
Baazaar
Apaharan
Ta Ra Rum Pum
Tere Naal Love Ho Gaya
Mela (2000)
Sarbjit 
Har Dil Jo Pyar Karega
Heroine (2012)
Pyaar Kiya To Darna Kya (1998)
Laal Rang
Yamla Pagla Deewana
Break Ke Baad
Saheb Biwi Aur Gangster
Humko Deewana Kar Gaye
Mujhse Fraaandship Karoge
Yuvvraaj
Titli (2014)
Aurangzeb 
Teri Meri Kahaani 
